id,name,category,website_hint,summary,auth_methods,credential_access,api_types,api_breadth,existing_mcp,buildability,main_blocker,confidence,research_status,notes,evidence
1,Salesforce,CRM and Sales,salesforce.com,"Enterprise CRM platform for sales, service, and marketing automation.","[""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest"", ""graphql""]",broad,third_party,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Salesforce supports OAuth 2.0 Web Server and JWT Bearer flows for API access."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_oauth_and_connected_apps.htm"", ""quote"": ""Salesforce uses the OAuth 2.0 protocol to verify authorization for connected apps."", ""retrieved_at"": ""2026-09-24T19:12:05.126725+00:00""}, {""field"": ""credential_access"", ""claim"": ""Free perpetual developer edition accounts are available self-serve."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developer.salesforce.com/signup"", ""quote"": ""Sign up for your free Developer Edition org to build and test integrations."", ""retrieved_at"": ""2026-09-24T19:12:05.126725+00:00""}]"
2,HubSpot,CRM and Sales,hubspot.com,"Inbound marketing, sales CRM, and customer service platform.","[""oauth2"", ""api_key""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,official,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""HubSpot supports Private App access tokens and standard OAuth 2.0."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.hubspot.com/docs/api/private-apps"", ""quote"": ""Private apps allow you to use HubSpot's APIs to access your HubSpot account's data with an access token."", ""retrieved_at"": ""2026-09-24T19:12:10.131006+00:00""}, {""field"": ""existing_mcp"", ""claim"": ""HubSpot has official and community Model Context Protocol server implementations."", ""verification"": ""insufficient_evidence"", ""url"": ""https://github.com/modelcontextprotocol/servers"", ""quote"": ""HubSpot integration server for managing CRM contacts, deals, and notes."", ""retrieved_at"": ""2026-09-24T19:12:10.131006+00:00""}]"
3,Pipedrive,CRM and Sales,pipedrive.com,Pipeline-centric sales CRM and lead management tool.,"[""oauth2"", ""api_key""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""yes""}","[""rest""]",broad,third_party,outreach_needed,"Requires formal partner program application, enterprise sales contact, or vendor agreement.",low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Pipedrive provides personal API tokens and OAuth 2.0 app authorization."", ""verification"": ""insufficient_evidence"", ""url"": ""https://pipedrive.readme.io/docs/how-to-find-the-api-token"", ""quote"": ""Your personal API token can be found under Personal preferences > API in your Pipedrive account."", ""retrieved_at"": ""2026-09-24T19:12:11.723227+00:00""}]"
4,Attio,CRM and Sales,attio.com,Next-generation relationship intelligence CRM with custom data model.,"[""api_key"", ""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,third_party,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Attio provides API keys generated from workspace settings."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.attio.com/docs/api-keys"", ""quote"": ""API keys are used to authenticate requests to the Attio API using Bearer authentication."", ""retrieved_at"": ""2026-09-24T19:12:13.171009+00:00""}]"
5,Twenty,CRM and Sales,twenty.com,Open-source CRM built with modern TypeScript and customizable workspace architecture.,"[""api_key"", ""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest"", ""graphql""]",broad,third_party,buildable_now,none,low,needs_review,open-source CRM,"[{""field"": ""auth_methods"", ""claim"": ""Twenty supports API key authentication and REST/GraphQL APIs."", ""verification"": ""insufficient_evidence"", ""url"": ""https://docs.twenty.com/developers/api/authentication"", ""quote"": ""To authenticate with the Twenty API, create an API key in your Workspace Settings."", ""retrieved_at"": ""2026-09-24T19:12:13.477745+00:00""}]"
6,Podio,CRM and Sales,podio.com,Customizable cloud collaboration and workflow platform from Citrix.,"[""oauth2"", ""api_key""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,none_found,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Podio uses OAuth 2.0 with Client ID and Secret for developer apps."", ""verification"": ""insufficient_evidence"", ""url"": ""https://podio.com/settings/api"", ""quote"": ""Podio uses OAuth 2.0 to authenticate and authorize API requests."", ""retrieved_at"": ""2026-09-24T19:12:14.103174+00:00""}]"
7,Zoho CRM,CRM and Sales,zoho.com/crm,Cloud CRM software for managing customer relationships and sales cycles.,"[""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,third_party,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Zoho CRM requires OAuth 2.0 authentication through the Zoho Developer Console."", ""verification"": ""insufficient_evidence"", ""url"": ""https://www.zoho.com/crm/developer/docs/api/v2/oauth-overview.html"", ""quote"": ""Zoho CRM APIs use OAuth 2.0 protocol for authentication and authorization."", ""retrieved_at"": ""2026-09-24T19:12:15.404652+00:00""}]"
8,Close,CRM and Sales,close.com,Inside sales CRM built for high-velocity startup and SMB sales teams.,"[""api_key"", ""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,none_found,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Close supports API keys using HTTP Basic Auth and OAuth2."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developer.close.com/#authentication"", ""quote"": ""Authentication is performed using HTTP Basic Auth with your API key as the username."", ""retrieved_at"": ""2026-09-24T19:12:16.629979+00:00""}]"
9,Copper,CRM and Sales,copper.com,Google Workspace-native CRM for customer and deal management.,"[""api_key""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",focused,none_found,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Copper uses custom headers (X-PW-AccessToken, X-PW-Application, X-PW-UserEmail)."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developer.copper.com/"", ""quote"": ""To authenticate with the Copper API, supply the X-PW-AccessToken and X-PW-UserEmail headers."", ""retrieved_at"": ""2026-09-24T19:12:16.914300+00:00""}]"
10,DealCloud,CRM and Sales,api.docs.dealcloud.com,"Financial services CRM for private equity, investment banking, and M&A.","[""oauth2"", ""token""]","{""self_serve_signup"": ""no"", ""free_or_trial_credentials"": ""no"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",focused,none_found,conditional,Requires licensed DealCloud enterprise instance and tenant administrator API provisioning.,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""DealCloud uses OAuth2 bearer tokens provisioned per client instance."", ""verification"": ""insufficient_evidence"", ""url"": ""https://api.docs.dealcloud.com/"", ""quote"": ""Authenticate requests using the Bearer token generated through the DealCloud authentication endpoint."", ""retrieved_at"": ""2026-09-24T19:12:18.547953+00:00""}]"
